text_id,grievance,offense_tag
23,I'm staff reporting witnessing a student who should have been in his afternoon classes instead leaving campus. I know he cuts class frequently which violates rules. Discipline is needed.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
24,I'm a student filing an official complaint about my classmate who misses class all the time and disrupts our learning. She cuts class without permission which violates attendance rules. Discipline is required.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
25,"As a faculty member, I need to file a grievance about a student with over 40% absences without excuse so far. He is in serious violation of attendance policy by cutting class excessively and requires discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
26,I'm an administrator submitting a complaint on behalf of a professor about a student who has missed 30% of classes unexcused. Cutting class violates policy so the student needs disciplinary intervention.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
27,"I'm staff grievant about a student I see wandering around instead of attending her classes on Tuesdays and Thursdays. She cuts class without permission, violating school rules. Discipline is needed.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
28,"As a fellow student, I'm reporting a grievance about my classmate who cuts our morning lecture multiple times a week. His chronic cutting class without excuse violates attendance policy. Discipline is in order.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
29,I'm a faculty member filing an official complaint about a student with over 35% unexcused absences who is in violation of attendance rules. His cutting class is disruptive and requires disciplinary action.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
30,"As an administrator, I'm submitting a grievance on behalf of a professor about a student missing their 9 AM class excessively. Cutting class without excuse violates school policy and requires discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
31,I'm staff witness to a student cutting class as I've seen her heading off campus on multiple Fridays when she should be in afternoon classes. Her violation of attendance rules by cutting class requires discipline.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
32,I'm a student filing an official complaint about my classmate who is constantly missing our morning lectures without permission. Her chronic cutting class is disruptive and violates attendance policy. Discipline is needed.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
33,"As faculty, I'm submitting a formal grievance about a student with 30%+ unexcused absences in violation of attendance rules. His excessive cutting class is unacceptable and requires disciplinary action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
34,I'm staff reporting witnessing a student leaving campus early everyday last week during class periods. Cutting class without excuse violates school policy and should be disciplined.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
35,I'm a student filing a complaint about my classmate missing lab sessions without excuse. This cutting class makes group work difficult. It violates attendance rules so I ask disciplinary action be taken.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
36,"As an administrator, I have a complaint about a student with excessive absences based on faculty reports. By cutting class without excuse, he's violated policy and requires discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
37,I'm a faculty grievant about a chronically tardy student who misses the first 30 minutes of my 9 AM lectures multiple times a week. Her cutting class violates policy and requires disciplinary intervention.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
38,"As staff, I often witness a student missing his last class on Fridays by leaving campus early. He cuts class without permission regularly, violating attendance rules. I request appropriate discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
39,I'm a student filing a grievance about my classmate who leaves our 3-hour lab sessions an hour early multiple times without excuse. His cutting class violates school policy so I believe discipline should occur.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
40,"As faculty, I need to submit a formal complaint about a student with excessive unexcused Monday absences. By cutting my scheduled class repeatedly, she violated policy and requires discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
41,I'm staff witness to a student loitering off-campus while his classes are in session. His cutting class violates school rules and should be disciplined.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
42,I'm a student grievant wanting disciplinary action for my classmate who leaves right after break during our 3 hour classes. Him constantly cutting class disrupts learning and violates attendance policy.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
43,"As faculty, a student has missed over 35% of my classes without valid reason. Her chronic cutting class violates policy and disrupts learning. I formally request appropriate disciplinary action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
44,I'm staff reporting a student who appears to be cutting class based on seeing him off-campus during scheduled class times. This violation needs to be disciplined.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
45,"I'm a student filing about my classmate who is missing at least 2 classes every week without excuse. By cutting class, she violates policy. I think disciplinary action should be taken to correct this.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
46,"As an administrator, I have received complaints about a student with excessive unexcused Friday absences from multiple professors. His chronic cutting class violates rules and requires discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
47,I'm faculty grievant about a student missing my 8 AM class excessively without excuse. Her cutting class disrupts learning and violates attendance policy. I formally request disciplinary intervention.,"12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
48,"As staff, I want to report often seeing a student leave campus on Tuesdays when he should be in afternoon classes. Cutting class without permission violates school policy and should be disciplined accordingly.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
49,"I'm a student filing an official complaint about my classmate who never shows up for our afternoon lab sessions on Fridays. Him cutting class violates attendance rules, harms group work, and warrants discipline.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
50,"I'm faculty filing about a student chronically missing my Wednesday lectures without excuse. By cutting my scheduled class repeatedly, he's violating attendance policy. I request appropriate disciplinary action.","12.1.1 Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
51,I'm a student filing a complaint about my classmate using the classroom projector without permission and misaligning it. I request disciplinary action for unauthorized use of materials.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
52,"As a faculty member, I'm grievant about students taking lab equipment like test tubes and misusing them for fun experiments. This unauthorized use of materials must be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
53,I'm staff witness to a student taking the common room TV remote without asking and scrolling channels during study hours. His unauthorized use of materials violates policy and requires discipline.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
54,"As an administrator, I'm filing a complaint about a student taking the lobby piano cover and using it as a blanket without permission. This misuse of materials must be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
55,I'm a student filing about my classmate using the 3D printer in the design lab to make action figures without getting proper approval first. I request this unauthorized use of materials be disciplined.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
56,"As a faculty member, I need to report a student using the kiln in the art studio without supervision to fire a personal project. This major unauthorized use of materials violates rules and must be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
57,I'm staff grievant requesting disciplinary action about students taking pool balls and cues without checkout and playing during off hours. Their unauthorized use disrupted our inventory system.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
58,"As an administrator, a student has been using the gym scale without permission to weigh packages he's mailing out. This unauthorized use of materials for personal gain should face discipline.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
59,I'm a student filing an official complaint about my classmate taking tools from the robotics lab for his own projects without approval. I request this unauthorized use of materials be disciplined.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
60,"As faculty, I need to report a student using campus HD cameras without permission to film a personal project. Her unauthorized use of college equipment violates policy and requires discipline.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
61,I'm staff grievant about students removing cables and cables from the computer lab without reason. This unauthorized use of materials inconvenienced other students. I request discipline.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
62,"As an administrator, students have been repeatedly using our A/V equipment without checking it out first per policy. I request discipline for this unauthorized use of college materials.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
63,I'm a student filing a complaint about my classmate using the drafting tools from the supply room without asking. I believe disciplinary action should be taken for this unauthorized use of materials.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
64,"As a faculty member, I'm filing a grievance about a student who used the electric piano in the band room without permission to make recordings. His unauthorized use of equipment violates policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
65,"I'm staff reporting that students moved furniture in the lecture hall without approval to make a fort. This improper, unauthorized use of materials should be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
66,"As an administrator, I have received complaints about a student using lab scopes without permission off hours. This unauthorized material use violates policy and should face discipline.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
67,I'm a student grievant wanting disciplinary action for my classmate using the welding tools from the shop without qualification or permission. His unauthorized access could've been unsafe.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
68,"As faculty, I'm submitting a complaint about a student who took the skeleton model from the anatomy lab without checking it out. Her unauthorized use of lab materials violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
69,I'm staff witness to a student removing reference books and maps from the library without properly checking them out first. This unauthorized material use warrents discipline.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
70,"As an administrator, I need to file a grievance about students misusing classroom clickers for voting contests without the instructor's approval. Their unauthorized use violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
71,I'm a student reporting my classmate for using the electric saw in the woodshop without receiving proper safety training first. His unauthorized access was extremely dangerous.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
72,"As faculty, I'm filing a complaint about a student who removed samples from the geology lab without permission for personal research. Her unauthorized use of materials violated rules.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
73,I'm staff witness to a student taking lab goggles and other protective equipment to use for a personal chemistry experiment without approval. This unauthorized use warrants discipline.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
74,"As an administrator, a student used the campus vehicle without proper checkout and for personal errands. I request discipline for this unauthorized use of college property.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
75,I'm a student and wish to file a grievance about my classmate using classroom displays without permission as costume materials. I believe disciplinary action should be taken for this unauthorized use of materials.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
76,"As a faculty member, I need to report students who removed samples from the cadaver lab without authorization. This unauthorized use of materials was unethical and violates rules.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
77,I'm staff filing about students taking cable equipment from the TV studio to film personal projects without permission. Their unauthorized use disrupted operations and should be disciplined.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
78,"As an administrator, I have complaints that a student used the electric cart improperly for joyrides without checking it out. I request this unauthorized use of equipment be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
79,I'm a student reporting my classmate used our classroom VR equipment without scheduling and supervision for gaming. I request disciplinary action for this unauthorized use of college materials.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
80,"As faculty, a student used the mannequins from the nursing lab without permission to make a fun window display. This unauthorized use of materials violated policy and must be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
81,I'm staff witness to a student removing the splitter and mice from the computer lab without checking them out first. His unauthorized use of materials violated procedure.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
82,"As an administrator, I need to file a complaint about a student using the campus vehicles for unapproved personal errands. I request discipline for this unauthorized use.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
83,I'm a student grievant wanting disciplinary action taken because my classmate used our camera equipment without permission to film personal projects.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
84,"As faculty, I'm submitting a grievance about a student who used the 3D printers in the lab without supervision to prototype personal designs. His unauthorized use violated rules.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
85,I'm staff reporting that a student removed cables and accessories from the computer lab without reason. This unauthorized use of materials violated policy.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
86,"As an administrator, I'm filing about students misappropriating classroom clickers for personal games and contests. This unauthorized use of materials violated school rules.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
87,I'm a student wishing to file a complaint about my classmate using lab materials like microscopes without the proper training. Her unauthorized handling could've damaged expensive equipment.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
88,"As faculty, I'm grievant about a student who took the human skeleton model without permission for inappropriate pranks. His unauthorized use of lab materials violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
89,"I'm staff reporting witnessing students removing cables, mice, and other computer lab accessories without reason. This unauthorized use inconvenienced other students.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
90,"As an administrator, I'm filing an official complaint about a student driving our campus vehicles without motor pool approval for joyrides. I request discipline for this unauthorized use of college property.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
91,I'm a student wishing to report my classmate used equipment from the radio station without permission to record music. I believe disciplinary action should occur for this unauthorized use of materials.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
92,"As faculty, I need to submit a grievance about a student who used the big skeleton in my biology class for pranks without permission. His unauthorized use violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
93,I'm staff grievant that students took equipment from the TV studio without permission to film dance videos. Their unauthorized use caused operational issues. I request discipline.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
94,"As an administrator, I have complaints students used our electric carts without motor pool approval to joyride around campus. This unauthorized use should be disciplined.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
95,I'm a student filing an official complaint about my peer using materials from the robotics lab without supervision for his own unsanctioned experiments. I request this unauthorized use be disciplined.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
96,"As faculty, I'm grievant about a student who used the electric piano without permission to record personal music. Her unauthorized use of lab equipment violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
97,"I'm staff witness to a student taking cables, mice, and accessories from the computer lab without properly checking them out. This disrupted operations.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
98,"As an administrator, I'm submitting a complaint about students misusing classroom response pads for unauthorized contests during lectures. This violated policy.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
99,I'm a student filing about my classmate who used the 3D printers in the engineering lab without certification to prototype a personal project. I request this unauthorized use of materials be disciplined.,"12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
100,"As faculty, I'm grievant about a student who took models & equipment from the physics lab without permission for unsanctioned experiments. His unauthorized material use violated school rules.","12.1.3 Unauthorized use of materials like chalk, board marker, board, and others inside the classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
101,I'm a student filing a complaint about my noisy classmates who shout and blast music during study hours in the lounge. I request disciplinary action for their disruptive behavior.,"12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
102,"As faculty, I'm filing a grievance about a student taking calls on speakerphone during my lectures. His loud, disruptive mobile phone use violates policy.","12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
103,I'm staff witness to students being disruptive in the cafeteria by loudly banging utensils and plates. Their excessive noise disturbed others. Disciplinary action should be taken.,"12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
104,"As an administrator, I'm submitting a complaint about students being loud and disruptive while playing games in the common room. Their excessive noise violated policy.","12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
105,I'm a student grievant wanting disciplinary action for my noisy neighbors who blast music and party late into the night. The excessive noise from their unit makes it hard to study and sleep.,"12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
106,"As faculty, I'm filing an official complaint about a student who played loud videos on phone without headphones during my lectures. His disruptive device use violates school rules.","12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
107,I'm staff reporting students being disruptive during a guest lecture by shouting comments instead of raising hands. Their excessive noise made it hard for others to hear.,"12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
108,"As an administrator, I need to submit a grievance regarding students causing a disruption by loudly heckling a campus speaker. Their actions created an extremely hostile environment.","12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
109,I'm a student wishing to file a complaint about my noisy neighbors blasting music and shouting late into the night. The excessive noise from their dorm makes sleep and study difficult.,"12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
110,"As faculty, I'm grievant about a student who was disruptive during my exam review session by shouting out answers instead of raising a hand. His actions made it difficult to proceed.","12.1.4 Making all forms of disturbances such as excessive noise, loud use of mobile phones and other gadgets that tend to disrupt classes, meetings, the general peaceful atmosphere, and the like, of hallways, corridors, classrooms, laboratory rooms, library, audio visual room, auditorium, amphitheatre, multi-faith chapel, and other function rooms."
