grievance,offense_tag
"As a fellow student, I'm reporting a grievance about my classmate who cuts our morning lecture multiple times a week. His chronic cutting class without excuse violates attendance policy. Discipline is in order.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a faculty member filing an official complaint about a student with over 35% unexcused absences who is in violation of attendance rules. His cutting class is disruptive and requires disciplinary action.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As an administrator, I'm submitting a grievance on behalf of a professor about a student missing their 9 AM class excessively. Cutting class without excuse violates school policy and requires discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm staff witness to a student cutting class as I've seen her heading off campus on multiple Fridays when she should be in afternoon classes. Her violation of attendance rules by cutting class requires discipline.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a student filing an official complaint about my classmate who is constantly missing our morning lectures without permission. Her chronic cutting class is disruptive and violates attendance policy. Discipline is needed.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As faculty, I'm submitting a formal grievance about a student with 30%+ unexcused absences in violation of attendance rules. His excessive cutting class is unacceptable and requires disciplinary action.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm staff reporting witnessing a student leaving campus early everyday last week during class periods. Cutting class without excuse violates school policy and should be disciplined.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a student filing a complaint about my classmate missing lab sessions without excuse. This cutting class makes group work difficult. It violates attendance rules so I ask disciplinary action be taken.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As an administrator, I have a complaint about a student with excessive absences based on faculty reports. By cutting class without excuse, he's violated policy and requires discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a faculty grievant about a chronically tardy student who misses the first 30 minutes of my 9 AM lectures multiple times a week. Her cutting class violates policy and requires disciplinary intervention.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As staff, I often witness a student missing his last class on Fridays by leaving campus early. He cuts class without permission regularly, violating attendance rules. I request appropriate discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a student filing a grievance about my classmate who leaves our 3-hour lab sessions an hour early multiple times without excuse. His cutting class violates school policy so I believe discipline should occur.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As faculty, I need to submit a formal complaint about a student with excessive unexcused Monday absences. By cutting my scheduled class repeatedly, she violated policy and requires discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm staff witness to a student loitering off-campus while his classes are in session. His cutting class violates school rules and should be disciplined.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm a student grievant wanting disciplinary action for my classmate who leaves right after break during our 3 hour classes. Him constantly cutting class disrupts learning and violates attendance policy.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As faculty, a student has missed over 35% of my classes without valid reason. Her chronic cutting class violates policy and disrupts learning. I formally request appropriate disciplinary action.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm staff reporting a student who appears to be cutting class based on seeing him off-campus during scheduled class times. This violation needs to be disciplined.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"I'm a student filing about my classmate who is missing at least 2 classes every week without excuse. By cutting class, she violates policy. I think disciplinary action should be taken to correct this.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As an administrator, I have received complaints about a student with excessive unexcused Friday absences from multiple professors. His chronic cutting class violates rules and requires discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
I'm faculty grievant about a student missing my 8 AM class excessively without excuse. Her cutting class disrupts learning and violates attendance policy. I formally request disciplinary intervention.,"Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"As staff, I want to report often seeing a student leave campus on Tuesdays when he should be in afternoon classes. Cutting class without permission violates school policy and should be disciplined accordingly.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"I'm a student filing an official complaint about my classmate who never shows up for our afternoon lab sessions on Fridays. Him cutting class violates attendance rules, harms group work, and warrants discipline.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"I'm faculty filing about a student chronically missing my Wednesday lectures without excuse. By cutting my scheduled class repeatedly, he's violating attendance policy. I request appropriate disciplinary action.","Section 12, item 12.1.1 - Violation of the usual classroom rules and regulations, such as cutting of classes set by the instructor."
"I witnessed a male student entering the university campus yesterday morning wearing inappropriate civilian clothes consisting of shorts, sleeveless shirt, and slippers, in clear violation of the school's policy on proper uniform and dress code. This blatant disregard of prescribed standards should not be tolerated.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
One of my female students attended class earlier today dressed in micro mini skirt with slits reaching her upper thighs. This is a clear breach of the regulations prohibiting skirts with high slits above the knees. I recommend appropriate disciplinary action be taken to address this student's failure to comply with stipulated uniform policies.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student was spotted multiple times over the past week roaming along the hallways and campus grounds with bright green hair in violation of grooming standards. This loud and flashy hair color does not adhere to proper decorum and should be addressed immediately.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"I observed a female student walking around school today without her official school ID displayed. Despite previous reminders, she has been repeatedly seen violating the policy requiring all students to properly wear ID cards when inside university premises.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student chose to wear prohibited earrings while inside the university campus earlier today. This ornamentation is strictly specified as unsuitable for male students. His disregard for this policy undermines the institution's standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"One male student entered the university building with a cap on his head, contravening the rule that headgear should not be worn indoors. This is not his first offense and leniency will only encourage further non-compliance with dress code regulations.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I spotted a male student in the cafeteria during lunch break with hair touching his collar. This shaggy and unkempt hairstyle is a clear violation of the stipulated male haircut policy mandating hair should not reach shirt collars.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A female student was seen walking along the third floor corridor wearing bedroom slippers today. Despite previous counselling, she continues to wear this inappropriate footwear on campus, flouting the unambiguous rule prohibiting slippers of any kind.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
One female student wore attire imprinted with morally offensive language to class this morning. This vulgar graphic print on her clothing violates standards of decency and she has been reminded before on her choice of improper attire.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student without prior permission or permit entered the university campus dressed fully in civilian casual wear. He made no attempt to comply with published uniform and dress code guidelines requiring academic attire during semester.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I am submitting this formal grievance regarding a female student who attended class in a micro mini skirt that exposed her upper thighs. This immodest garment goes against specific guidelines prohibiting excessively short skirts. Proper disciplinary measures should be undertaken to address this breach.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student's garish purple hair could be clearly seen while she walked along the second floor hallway today. Her disregard for grooming standards prohibiting unnaturally colored and loud hair deserves serious reprimand.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier today I encountered a male student within university grounds not wearing his prescribed school ID card. Despite previous warnings, he continues to violate the policy requiring ID display, showing unacceptable dismissal of rules.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student's hair was observed touching his ears while he sat in the library this morning. This violates the male haircut policy expressly forbidding hair from covering ears. Leniency will only reinforce non-compliance with stipulated grooming standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"During my morning class, I noticed a female student wearing conspicuous makeup. This obvious breach of regulations barring showy cosmetics deserves immediate corrective intervention to prevent further flouting of policies.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday afternoon, I saw a male student walking along the campus grounds wearing pants with large holes and tears. His attitude reflects a lack of discipline and disregard for policies requiring appropriate attire.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier today, a female student entered the university premises dressed in an extremely revealing outfit. Her skimpy clothing violates provisions mandating decent uniforms and modest dresses for female students.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"This morning, I witnessed a male student roaming the campus in very short shorts that exposed most of his thighs. His attire is unsuitable for an academic institution and breaches stipulated clothing policy.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In my afternoon class, a female student wore a sheer sleeveless blouse. This inappropriate top contravenes our dress code prohibiting see-through and strapless tops. I recommend firm disciplinary counselling for her.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"While on hall patrol during lunch break, I noticed a male student entering the building while still wearing his cap. Despite previous warnings, he continues to breach the rule forbidding hats inside university buildings.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, a female student was spotted walking along the corridor in a tight short skirt with side slits that rose dangerously high with each step. This wardrobe malfunction waiting to happen goes against modesty policies.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"This morning, I saw a female student casually strolling across campus in her bedroom slippers. This continued defiance of footwear regulations mandating closed shoes deserves strict sanction.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student dressed in extremely revealing cutoff jeans and midriff-baring tube top entered the university library yesterday. Her skimpy attire is unsuitable for an academic institution and violates provisions of decency.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier today, I noticed a male student walking around campus wearing small hoop earrings on both ears. This ornamentation strictly prohibited for male students was also observed last week, showing disregard of policies.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"During my morning class, a male student's long scraggly hair kept falling across his face. His overgrown locks breaching stipulated male haircut length deserve reprimand and corrective trimming.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, I saw a male student enter the campus through the front gate dressed fully in civilian clothes without permit. This brazen violation of academic dress code mandating uniforms cannot be condoned.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
Earlier I witnessed a female student with bright neon yellow hair lounging in the campus quad. Her extreme hair color breaching standards of decorum deserves sanction both for current and repeat offense.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Today, I saw a female student walking around the campus grounds in a skimpy frayed cutoff shirt baring her midriff. Her inappropriate revealing attire violates provisions of modesty and decency.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A male student entered the classroom building this morning sans his official school ID card. Despite counselling, he persists in flouting the policy requiring proper ID display within campus.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I spotted a female student moving along the corridor wearing ripped jeans with tears across both knees and thighs. Her willful disregard of dress code warrants disciplinary action.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In my class today, a female student's eyes were coated thickly in glittery purplish eyeshadow. This ostentatious makeup breaches stipulations allowing only light neutral tones.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier, I saw a male student improperly wearing a baseball cap while walking the hallways indoors. Despite previous warnings, he violates the provision disallowing headgear inside buildings.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student dressed in extremely short ripped denim cutoffs and a midriff-baring top entered the library today. Her skimpy attire violated provisions of modesty and decency.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"During lunch break, I noticed a male student strolling through the campus grounds in loose athletic shorts reaching just above his knees. His inappropriate attire breaches policy.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In class today, a male student's bushy hair kept falling over his eyebrows and across his face. His shaggy locks violating stipulated male haircut policies deserve sanction.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"This morning, a male student improperly entered the university gates in civilian casual clothes without permit. This direct breach of dress code guidelines mandating uniforms warrants action.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday afternoon, I saw a female student walking along the corridor wearing loose bedroom slippers that flopped noisily with every step. This continued violation deserves reprimand.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier today, a female student moved around the campus lobby absently chatting on her cellphone sans school ID card. Despite reminders, she violates the ID display policy.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student dressed in denim cutoffs imprinted with morally inappropriate graphics arrived for her morning class today. Her vulgar attire deserves disciplinary counselling and sanction.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I witnessed a female student walking around campus dressed in an excessively short miniskirt that exposed her upper thighs and more. Her immodest attire violates provisions of decency and modesty in our dress code.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In my afternoon class, a female student wore a sleeveless crop top blouse exposing her midriff. This inappropriate attire contravenes stipulated dress code standards of modesty.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Earlier today, a male student entered the classroom building improperly wearing a baseball cap. He remains obstinate in violating the provision disallowing headgear inside buildings despite reminders.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday morning, I saw a female student move along the hallway with hair dyed in loud hues of green, pink and orange. Her garish coloring breaches stipulated norms of proper decorum.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student clad in dangerously short frayed denim cutoffs and sheer midriff-baring blouse was seen in the cafeteria during lunch hour. Her skimpy attire violated decency standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In class today, a male student kept brushing back his long shoulder-length hair from his face. His overtly long hairstyle breaching prescribed haircut policies deserves reprimand.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"This morning, a female student entered the campus wearing colorful slip-on bedroom slippers. Despite counselling, she persists in flouting footwear regulations.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a male student roaming the university lobby during lunch break not wearing his official school ID card around his neck. This violation of ID display policy deserves action.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Today afternoon, I noticed a male student walking along the campus grounds in athletic shorts exposing most of his thighs. His inappropriate attire for the academic setting warrants sanction.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student dressed fully in civilian clothes entered the campus through the front gate today sans permit granting exception to uniform dress code. His violation of guidelines merits reprimand.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"In the university quad, I observed a female student dressed in a transparent midriff-baring blouse and micro mini skirt. Her overly revealing attire violates provisions of modesty and decency in the dress code.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a female student wearing a halter top that exposed her bare midriff as she walked through the campus this morning. This type of revealing clothing clearly violates our dress code standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student attended my class today wearing shorts that were well above knee-length. Such short pants breach the rules on appropriate attire for male students.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I noticed a female student moving around the campus with bright purple hair. This extreme unnatural hair coloring goes against stipulated grooming guidelines.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A male student entered the classroom building today still wearing his cap indoors. Despite reminders, he persists in flouting the rule prohibiting hats inside.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, I observed a female student walking barefoot across the campus grounds. She continues to disregard footwear regulations mandating closed shoes.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student sat through my entire class today with shaggy shoulder-length hair hanging over his face. His overtly long hairstyle violates grooming standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a female student wearing a tube top that exposed most of her upper body and shoulders. Such revealing garments breach stipulated dress code norms.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student moved along the hallway wearing bedroom slippers that noisily shuffled with each step. This inappropriate footwear violates policy.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, a female student attended class in a miniskirt with dangerously high side slits. Such short, revealing skirts go against standards.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I noticed a male student had adorned each ear with small hoop earrings. Such ornamentation is strictly prohibited according to grooming guidelines.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student wore a sheer see-through blouse to class earlier today. This flimsy top contravenes the dress code standards prohibiting transparent clothing.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a male student walking barefoot across the campus grounds yesterday. He continues to breach footwear policy mandating closed shoes.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A female student moved along the hallway wearing bedroom slippers. Despite counselling, she violates rule against such indoor footwear.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, I noticed a male student improperly wearing a baseball cap indoors. He remains obstinate in flouting the rule banning hats inside buildings.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student wore inappropriate revealing short shorts while walking through the campus this morning. Such skimpy clothing violates modesty norms.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a male student sitting in class today with hair covering his ears. This shaggy hairstyle breaches stipulated grooming standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A female student entered the classroom with brightly dyed orange hair that clashed garishly with our decorum policies. Loud hair colors are prohibited.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, a male student walked into the campus wearing bedroom slippers. This continued violation of footwear policy deserves reprimand.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I noticed a female student moving around campus today wearing a skimpy frayed halter exposing her bare midriff. Such revealing garb violates modesty.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
A male student sat through my class with hair falling untidily over his face. His unkempt hairstyle breaches stipulated grooming policies.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a female student wearing a sleeveless low-cut blouse that exposed her chest and shoulders. Our dress code prohibits such inappropriate garments.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"Yesterday, a male student entered the classroom building still wearing his cap despite the rule banning headgear indoors.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A female student wore a skirt with thigh-high slits that exposed her legs as she walked. Such short, revealing skirts violate stipulated policies.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I noticed a male student moving around barefoot within the university building today. He violates footwear policy requiring closed shoes.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
"A female student sat through class yesterday with thick bright makeup heavily applied on her face. Our policies only allow light, neutral tones.","Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
I saw a male student walking around campus with hair touching his collar. This shaggy hairstyle violates stipulated grooming standards.,"Section 12, item 12.1.2 - Violation of Section 10 (Proper Uniform, Dress Code and Related Rules/Regulations)."
