Grievance/Complaint,Offense Tag(s)
"As an administrator, I have received complaints about a student with excessive unexcused Friday absences from multiple professors. His chronic cutting class violates rules and requires discipline.",12.1.1
I'm faculty grievant about a student missing my 8 AM class excessively without excuse. Her cutting class disrupts learning and violates attendance policy. I formally request disciplinary intervention.,12.1.1
"As staff, I want to report often seeing a student leave campus on Tuesdays when he should be in afternoon classes. Cutting class without permission violates school policy and should be disciplined accordingly.",12.1.1
"I'm a student filing an official complaint about my classmate who never shows up for our afternoon lab sessions on Fridays. Him cutting class violates attendance rules, harms group work, and warrants discipline.",12.1.1
"I'm faculty filing about a student chronically missing my Wednesday lectures without excuse. By cutting my scheduled class repeatedly, he's violating attendance policy. I request appropriate disciplinary action.",12.1.1
I'm a student filing a complaint about my classmate using the classroom projector without permission and misaligning it. I request disciplinary action for unauthorized use of materials.,12.1.3
"As a faculty member, I'm grievant about students taking lab equipment like test tubes and misusing them for fun experiments. This unauthorized use of materials must be disciplined.",12.1.3
I'm staff witness to a student taking the common room TV remote without asking and scrolling channels during study hours. His unauthorized use of materials violates policy and requires discipline.,12.1.3
"As an administrator, I'm filing a complaint about a student taking the lobby piano cover and using it as a blanket without permission. This misuse of materials must be disciplined.",12.1.3
I'm a student filing about my classmate using the 3D printer in the design lab to make action figures without getting proper approval first. I request this unauthorized use of materials be disciplined.,12.1.3
"As a faculty member, I need to report a student using the kiln in the art studio without supervision to fire a personal project. This major unauthorized use of materials violates rules and must be disciplined.",12.1.3
I'm staff grievant requesting disciplinary action about students taking pool balls and cues without checkout and playing during off hours. Their unauthorized use disrupted our inventory system.,12.1.3
"As an administrator, a student has been using the gym scale without permission to weigh packages he's mailing out. This unauthorized use of materials for personal gain should face discipline.",12.1.3
I'm a student filing an official complaint about my classmate taking tools from the robotics lab for his own projects without approval. I request this unauthorized use of materials be disciplined.,12.1.3
"As faculty, I need to report a student using campus HD cameras without permission to film a personal project. Her unauthorized use of college equipment violates policy and requires discipline.",12.1.3
I'm staff grievant about students removing cables and cables from the computer lab without reason. This unauthorized use of materials inconvenienced other students. I request discipline.,12.1.3
"As an administrator, students have been repeatedly using our A/V equipment without checking it out first per policy. I request discipline for this unauthorized use of college materials.",12.1.3
I'm a student filing a complaint about my classmate using the drafting tools from the supply room without asking. I believe disciplinary action should be taken for this unauthorized use of materials.,12.1.3
"As a faculty member, I'm filing a grievance about a student who used the electric piano in the band room without permission to make recordings. His unauthorized use of equipment violates policy.",12.1.3
"I'm staff reporting that students moved furniture in the lecture hall without approval to make a fort. This improper, unauthorized use of materials should be disciplined.",12.1.3
"As an administrator, I have received complaints about a student using lab scopes without permission off hours. This unauthorized material use violates policy and should face discipline.",12.1.3
I'm a student grievant wanting disciplinary action for my classmate using the welding tools from the shop without qualification or permission. His unauthorized access could've been unsafe.,12.1.3
"As faculty, I'm submitting a complaint about a student who took the skeleton model from the anatomy lab without checking it out. Her unauthorized use of lab materials violated policy.",12.1.3
I'm staff witness to a student removing reference books and maps from the library without properly checking them out first. This unauthorized material use warrents discipline.,12.1.3
"As an administrator, I need to file a grievance about students misusing classroom clickers for voting contests without the instructor's approval. Their unauthorized use violated policy.",12.1.3
I'm a student reporting my classmate for using the electric saw in the woodshop without receiving proper safety training first. His unauthorized access was extremely dangerous.,12.1.3
"As faculty, I'm filing a complaint about a student who removed samples from the geology lab without permission for personal research. Her unauthorized use of materials violated rules.",12.1.3
I'm staff witness to a student taking lab goggles and other protective equipment to use for a personal chemistry experiment without approval. This unauthorized use warrants discipline.,12.1.3
"As an administrator, a student used the campus vehicle without proper checkout and for personal errands. I request discipline for this unauthorized use of college property.",12.1.3
I'm a student and wish to file a grievance about my classmate using classroom displays without permission as costume materials. I believe disciplinary action should be taken for this unauthorized use of materials.,12.1.3
"As a faculty member, I need to report students who removed samples from the cadaver lab without authorization. This unauthorized use of materials was unethical and violates rules.",12.1.3
I'm staff filing about students taking cable equipment from the TV studio to film personal projects without permission. Their unauthorized use disrupted operations and should be disciplined.,12.1.3
"As an administrator, I have complaints that a student used the electric cart improperly for joyrides without checking it out. I request this unauthorized use of equipment be disciplined.",12.1.3
I'm a student reporting my classmate used our classroom VR equipment without scheduling and supervision for gaming. I request disciplinary action for this unauthorized use of college materials.,12.1.3
"As faculty, a student used the mannequins from the nursing lab without permission to make a fun window display. This unauthorized use of materials violated policy and must be disciplined.",12.1.3
I'm staff witness to a student removing the splitter and mice from the computer lab without checking them out first. His unauthorized use of materials violated procedure.,12.1.3
"As an administrator, I need to file a complaint about a student using the campus vehicles for unapproved personal errands. I request discipline for this unauthorized use.",12.1.3
I'm a student grievant wanting disciplinary action taken because my classmate used our camera equipment without permission to film personal projects.,12.1.3
"As faculty, I'm submitting a grievance about a student who used the 3D printers in the lab without supervision to prototype personal designs. His unauthorized use violated rules.",12.1.3
I'm staff reporting that a student removed cables and accessories from the computer lab without reason. This unauthorized use of materials violated policy.,12.1.3
"As an administrator, I'm filing about students misappropriating classroom clickers for personal games and contests. This unauthorized use of materials violated school rules.",12.1.3
I'm a student wishing to file a complaint about my classmate using lab materials like microscopes without the proper training. Her unauthorized handling could've damaged expensive equipment.,12.1.3
"As faculty, I'm grievant about a student who took the human skeleton model without permission for inappropriate pranks. His unauthorized use of lab materials violated policy.",12.1.3
"I'm staff reporting witnessing students removing cables, mice, and other computer lab accessories without reason. This unauthorized use inconvenienced other students.",12.1.3
"As an administrator, I'm filing an official complaint about a student driving our campus vehicles without motor pool approval for joyrides. I request discipline for this unauthorized use of college property.",12.1.3
I'm a student wishing to report my classmate used equipment from the radio station without permission to record music. I believe disciplinary action should occur for this unauthorized use of materials.,12.1.3
"As faculty, I need to submit a grievance about a student who used the big skeleton in my biology class for pranks without permission. His unauthorized use violated policy.",12.1.3
I'm staff grievant that students took equipment from the TV studio without permission to film dance videos. Their unauthorized use caused operational issues. I request discipline.,12.1.3
"As an administrator, I have complaints students used our electric carts without motor pool approval to joyride around campus. This unauthorized use should be disciplined.",12.1.3
I'm a student filing an official complaint about my peer using materials from the robotics lab without supervision for his own unsanctioned experiments. I request this unauthorized use be disciplined.,12.1.3
"As faculty, I'm grievant about a student who used the electric piano without permission to record personal music. Her unauthorized use of lab equipment violated policy.",12.1.3
"I'm staff witness to a student taking cables, mice, and accessories from the computer lab without properly checking them out. This disrupted operations.",12.1.3
"As an administrator, I'm submitting a complaint about students misusing classroom response pads for unauthorized contests during lectures. This violated policy.",12.1.3
I'm a student filing about my classmate who used the 3D printers in the engineering lab without certification to prototype a personal project. I request this unauthorized use of materials be disciplined.,12.1.3
"As faculty, I'm grievant about a student who took models & equipment from the physics lab without permission for unsanctioned experiments. His unauthorized material use violated school rules.",12.1.3
I'm a student filing a complaint about my noisy classmates who shout and blast music during study hours in the lounge. I request disciplinary action for their disruptive behavior.,12.1.4
"As faculty, I'm filing a grievance about a student taking calls on speakerphone during my lectures. His loud, disruptive mobile phone use violates policy.",12.1.4
I'm staff witness to students being disruptive in the cafeteria by loudly banging utensils and plates. Their excessive noise disturbed others. Disciplinary action should be taken.,12.1.4
"As an administrator, I'm submitting a complaint about students being loud and disruptive while playing games in the common room. Their excessive noise violated policy.",12.1.4
I'm a student grievant wanting disciplinary action for my noisy neighbors who blast music and party late into the night. The excessive noise from their unit makes it hard to study and sleep.,12.1.4
"As faculty, I'm filing an official complaint about a student who played loud videos on phone without headphones during my lectures. His disruptive device use violates school rules.",12.1.4
I'm staff reporting students being disruptive during a guest lecture by shouting comments instead of raising hands. Their excessive noise made it hard for others to hear.,12.1.4
"As an administrator, I need to submit a grievance regarding students causing a disruption by loudly heckling a campus speaker. Their actions created an extremely hostile environment.",12.1.4
I'm a student wishing to file a complaint about my noisy neighbors blasting music and shouting late into the night. The excessive noise from their dorm makes sleep and study difficult.,12.1.4
"As faculty, I'm grievant about a student who was disruptive during my exam review session by shouting out answers instead of raising a hand. His actions made it difficult to proceed.",12.1.4
I'm staff witness to students being disruptive in the library cafe by loudly clanking silverware and plates. Their excessive noise disturbed other patrons.,12.1.4
"As an administrator, I'm filing an official complaint about students causing a disruption at a campus event by booing the speaker. Their actions violated policy.",12.1.4
I'm a student reporting my noisy neighbors who blast music and party late into the weeknights. The excessive noise from their unit makes sleep and study very difficult.,12.1.4
"As faculty, I'm grievant about a student taking calls on speaker phone during my lectures despite warnings. His loud, disruptive mobile phone use violates school rules.",12.1.4
I'm staff witness to students being disruptive in the courtyard by shouting and playing loud music. Their excessive noise made it hard for others to enjoy the space.,12.1.4
"As an administrator, I'm submitting a complaint about students disrupting a ceremony by cheering and shouting over speakers. Their excessive noise violated event rules.",12.1.4
"I'm a student wishing to file a grievance about noisy classmates who shout, laugh, and chatter during quiet study hours in the library. Their disruptive noise makes concentration difficult.",12.1.4
"As faculty, I'm reporting a disruptive student who played loud music on a Bluetooth speaker despite warnings during my class. His actions made teaching very difficult.",12.1.4
I'm staff witness to students being disruptive in the computer lab by loudly banging on keyboards and taking videos. Their excessive noise disturbed others trying to work.,12.1.4
"As an administrator, I'm filing a complaint about students who disrupted a concert by talking loudly despite warnings. Their excessive noise violated event rules.",12.1.4
"I'm a student grievant about noisy neighbors playing loud music and shouting late into the night, disrupting sleep & study. I request disciplinary action for this ongoing issue.",12.1.4
"As faculty, I'm reporting a student who disrupted my lecture by taking a call on speakerphone and arguing loudly. His actions made teaching impossible.",12.1.4
I'm staff filing a grievance about students being disruptive in the lounge by blasting music and shouting. Their excessive noise prohibits others from enjoying the space.,12.1.4
"As an administrator, I'm submitting a complaint about students causing a disruption at a guest lecture by booing and heckling the speaker. Their actions violated policy.",12.1.4
I'm a student wishing to file a grievance about noisy classmates who play videos aloud during study hours despite warnings. Their disruptive actions make focus difficult.,12.1.4
"As faculty, I'm grievant about a student taking calls on speaker phone during my exam review despite warnings. Her loud, disruptive mobile phone use violated school rules.",12.1.4
I'm staff witness to students being disruptive in the library by shouting and taking videos with loud music. Their excessive noise prohibited others from studying.,12.1.4
"As an administrator, I'm filing an official complaint about students disrupting a campus speaker by booing and heckling. Their actions created a hostile environment that violated school policy.",12.1.4
"I'm a student wishing to report noisy neighbors blasting music and shouting late into the night, disrupting sleep and study. I request disciplinary action to curb this excessive noise.",12.1.4
"As faculty, I'm reporting a student who was disruptive by playing graphic videos aloud during class despite warnings. His actions made teaching impossible.",12.1.4
I'm staff grievant about students causing disruption in the computer lab by loudly watching movies and chatting. Their excessive noise prohibited work.,12.1.4
"As an administrator, I'm filing an official complaint about students who disrupted a lecture by shouting comments instead of raising hands. Their excessive noise violated school rules.",12.1.4
"I'm a student wishing to file a grievance about my noisy classmates who talk, laugh, and shout during quiet study hours despite warnings. Their ongoing disruption makes study hard.",12.1.4
"As faculty, I'm reporting a student who was disruptive by taking speakerphone calls during my exam review session. Her actions made teaching difficult.",12.1.4
"I'm staff witness to students causing disruption in the café by loudly banging plates, utensils, and chairs beyond what's reasonable. Their excessive noise disturbed patrons.",12.1.4
"As an administrator, I'm submitting a complaint about students who disrupted a campus speaker by heckling and shouting over the person. Their actions violated school policy.",12.1.4
"I'm a student grievant about noisy classmates who play loud videos and music during quiet study hours, affecting concentration. I request disciplinary action.",12.1.4
"As faculty, I'm filing a grievance regarding a student who was disruptive by shouting answers instead of raising a hand during my lectures. His actions violated policy.",12.1.4
I'm staff reporting students causing disruption in the lobby by blasting explicit music on a Bluetooth speaker despite warnings. Their excessive noise prohibited work.,12.1.4
"As an administrator, I'm submitting an official complaint about students who booed and heckled a guest lecturer, violating policy. Their actions disrupted the event and speaker.",12.1.4
"I'm a student wishing to file a grievance about noisy neighbors playing loud music and shouting late into the night, disrupting sleep and study. I request disciplinary intervention.",12.1.4
"As faculty, I'm grievant about a disruptive student taking calls on speakerphone during my class, affecting the teaching environment. His actions violated school rules.",12.1.4
I'm staff witness to students being disruptive in the lobby by shouting and playing loud music instead of studying quietly. Their excessive noise disturbed others.,12.1.4
"As an administrator, I'm filing an official complaint about students who disrupted a guest lecture by heckling the speaker. Their actions violated policy and created a disruption.",12.1.4
"I'm a student wishing to report noisy classmates who chatter, shout, and play videos during quiet study hours despite warnings. Ongoing disruption makes focus impossible.",12.1.4
"As faculty, I'm grievant about a student who disrupted my lecture by taking a call on speakerphone and shouting. Her actions violated school rules.",12.1.4
I'm staff filing a complaint about students being disruptive in the computer lab by playing loud music on a Bluetooth speaker despite warnings. Their excessive noise prohibited work.,12.1.4
"As an administrator, I'm submitting a grievance about students who booed and heckled a guest speaker, violating school policy. Their actions were extremely disruptive.",12.1.4
"I'm a student wishing to file a complaint about noisy neighbors blasting music late into the nights, disrupting sleep and study time. I request disciplinary intervention for this ongoing issue.",12.1.4
"As faculty, I'm grievant about a disruptive student who played loud music during my exam review despite warnings. His actions violated school rules and disrupted teaching.",12.1.4
I'm staff reporting a student posted party flyers around campus without getting them approved as required. I request disciplinary action for this unauthorized posting of materials.,12.1.5
"As an administrator, I'm filing a complaint about a student distributing non-approved religious pamphlets on campus. This unauthorized material circulation violated policy.",12.1.5
I'm a student wishing to report my classmate posted research study fliers without the required research approval stamp. I believe disciplinary action should be taken.,12.1.5
"As faculty, I'm grievant about students leaving event fliers on car windshields without approval. This unauthorized posting of materials violated campus rules.",12.1.5
I'm staff witness to a student slipping promotional flyers under doors in the dorms without authorization. His unauthorized circulation of materials violated policy.,12.1.5
"As an administrator, I'm filing an official complaint about club members tabling and distributing non-approved pamphlets. This violated school rules on approved posting of materials.",12.1.5
I'm a student wishing to report my classmate circulating religious pamphlets on-campus without approval. I believe disciplinary action should occur for this unauthorized material distribution.,12.1.5
"As faculty, I'm grievant about a student slipping promotional flyers under office doors without authorization. His unauthorized circulation of materials violated policy.",12.1.5
I'm staff witness to a student posting non-approved housing listings around campus. This unauthorized posting of materials violated school rules.,12.1.5
"As an administrator, I'm submitting a complaint about a student distributing religious pamphlets on cars without approval. This unauthorized material circulation violated policy.",12.1.5
I'm a student wishing to file a grievance about my classmate slipping promotional flyers under dorm room doors without approval. I request this unauthorized circulation of materials be disciplined.,12.1.5
"As faculty, I'm reporting students leaving non-approved tutoring service flyers on car windshields. This unauthorized posting of materials violated campus policy.",12.1.5
I'm staff grievant about a student posting non-approved party flyers around campus. I request disciplinary action for this unauthorized flyer circulation violating school rules.,12.1.5
"As an administrator, I'm submitting an official complaint about a student distributing religious pamphlets without approval. Their unauthorized material circulation violated policy.",12.1.5
I'm a student wishing to file a grievance about my peer slipping promotional flyers under doors without authorization. I believe disciplinary action should occur for this unauthorized material distribution.,12.1.5
"As faculty, I'm reporting a student posted non-approved housing listings around campus in violation of posting policy. I request disciplinary action for this unauthorized flyer circulation.",12.1.5
I'm staff witness to a student distributing religious pamphlets on cars without approval. This unauthorized material circulation violated campus rules.,12.1.5
"As an administrator, I'm filing an official complaint about students leaving tutoring service flyers on car windshields without authorization. This violated school policy on approved material circulation.",12.1.5
I'm a student grievant about my classmate posting non-approved party flyers around campus without permission. I request disciplinary action for this unauthorized material circulation violating policy.,12.1.5
"As faculty, I'm reporting a student slipped promotional flyers under office doors without approval. This unauthorized circulation of materials violated school rules.",12.1.5
I'm staff witness to a student distributing non-approved religious pamphlets on campus in violation of policy. I request disciplinary action for this unauthorized material circulation.,12.1.5
"As an administrator, I'm submitting a complaint about club members tabling without approval to distribute event flyers. This violated policy on authorized material circulation.",12.1.5
I'm a student wishing to file a grievance about my classmate posting housing listings without approval throughout campus. I believe disciplinary action should occur for this violation of circulation policy.,12.1.5
"As faculty, I'm grievant about students distributing non-approved tutoring service flyers on cars. This unauthorized material circulation violated school rules.",12.1.5
I'm staff reporting a student slipped party flyers under dorm room doors without authorization. His unauthorized circulation of materials violated policy.,12.1.5
"As an administrator, I'm submitting an official complaint about a student posting religious pamphlets without approval throughout campus. This violated school rules on authorized material circulation.",12.1.5
I'm a student wishing to file a grievance about my classmate distributing non-approved party flyers around campus. I believe disciplinary action should occur for this unauthorized material posting violating school policy.,12.1.5
"As faculty, I'm grievant about students posting unapproved housing listings around campus. Their unauthorized flyer circulation violated policy.",12.1.5
I'm staff witness to a student distributing religious pamphlets on cars without authorization. This unauthorized material circulation violated rules.,12.1.5
"As an administrator, I'm filing an official complaint about club members distributing event flyers without approval at a tabling booth. This violated policy on authorized material circulation.",12.1.5
I'm a student wishing to report my classmate slipped promotional flyers under dorm room doors without approval. I request disciplinary action for this unauthorized circulation of materials violating policy.,12.1.5
"As faculty, I'm reporting a student posted non-approved tutoring service advertisements around campus. This unauthorized flyer circulation violated school rules.",12.1.5
I'm staff grievant about a student distributing religious pamphlets around campus without approval. I request disciplinary action for this unauthorized material circulation violating policy.,12.1.5
"As an administrator, I'm submitting a complaint about students posting party flyers without approval throughout campus. Their unauthorized material circulation violated school rules.",12.1.5
I'm a student wishing to file a grievance about my peer distributing housing listing flyers without authorization. I believe disciplinary action should take place for this violation of posting policy.,12.1.5
"As faculty, I'm reporting a student slipped unapproved promotional flyers under office doors. This unauthorized circulation of materials violated campus rules.",12.1.5
I'm staff witness to a student posting non-authorized religious pamphlets around campus in violation of policy. I request disciplinary action for this improper flyer circulation.,12.1.5
"As an administrator, I'm submitting an official complaint about students distributing party promotional materials without approval at a tabling event. This violated school policy.",12.1.5
I'm a student grievant about my classmate distributing religious flyers on cars without authorization. I request disciplinary action for this unauthorized material circulation violating school rules.,12.1.5
"As faculty, I'm reporting a student posted housing listings without approval around campus. This unauthorized flyer circulation violated policy.",12.1.5
I'm staff witness to a student slipping non-approved tutoring service flyers under doors. This unauthorized circulation of materials violated rules.,12.1.5
"As an administrator, I'm filing an official complaint about a student posting unapproved party flyers. Their unauthorized material circulation violated school policy.",12.1.5
I'm a student wishing to file a grievance about my peer distributing religious pamphlets without authorization. I request disciplinary action for this violation of circulation policy.,12.1.5
"As faculty, I'm grievant about students leaving promotional flyers on car windshields without approval. This unauthorized posting of materials violated campus rules.",12.1.5
I'm staff reporting a student distributed non-authorized housing listing flyers around campus. His unauthorized circulation of materials violated policy.,12.1.5
"As an administrator, I'm submitting an official complaint about club members distributing event flyers without approval. This violated school rules on authorized material circulation.",12.1.5
I'm a student wishing to report my classmate posting tutoring service advertisements without approval throughout campus. I believe disciplinary action should occur for this unauthorized flyer circulation.,12.1.5
"As faculty, I'm grievant about students posting party promotional materials without authorization around campus. Their unauthorized flyer circulation violated school policy.",12.1.5
I'm staff witness to a student slipping religious pamphlets under dorm room doors without approval. This unauthorized circulation of materials violated rules.,12.1.5
"As an administrator, I'm filing an official complaint about a student distributing non-approved housing listing flyers. This violated policy on authorized material circulation.",12.1.5
I'm staff witness to a student ripping down event flyers without authorization. This unauthorized removal of materials violated policy. I request disciplinary action.,12.1.6
"As an administrator, I'm submitting a complaint about a student taking down department bulletin notices without permission. This unauthorized removal of materials violated school rules.",12.1.6
I'm a student wishing to file a grievance about my classmate removing exam announcement posters without authorization. I believe disciplinary action should occur for this unauthorized taking down of materials.,12.1.6
"As faculty, I'm reporting a student took down the syllabus I posted outside my office without permission. This unauthorized removal of materials violated campus policy.",12.1.6
I'm staff grievant about a student ripping down lounge policy signs without authorization. This unauthorized taking down of materials disrupted operations.,12.1.6
"As an administrator, I'm filing an official complaint about a student repeatedly removing exam announcement flyers without approval. This violation of taking down materials policy must be disciplined.",12.1.6
I'm a student wishing to report my classmate took down tutoring center notices without permission. I request disciplinary action for this unauthorized removal of materials violating school rules.,12.1.6
"As faculty, I'm grievant about a student removing my lecture notes from the hallway bulletin board without approval. This unauthorized taking down of materials violated policy.",12.1.6
I'm staff witness to a student tearing down event posters without authorization. This unauthorized removal of materials violated rules.,12.1.6
"As an administrator, I'm submitting a complaint about a student ripping down department internship flyers without permission. This violation of taking down materials policy must be disciplined.",12.1.6
I'm a student wishing to file a grievance about my classmate taking down room reservation signs without authorization. I believe disciplinary action should occur for this unauthorized removal of materials.,12.1.6
"As faculty, I'm reporting a student removed exam announcements I posted without approval. This unauthorized taking down of materials violated policy.",12.1.6
I'm staff grievant about a student tearing down library schedule posters without permission. This unauthorized removal of materials disrupted operations.,12.1.6
"As an administrator, I'm submitting an official complaint about a student ripping down department notices without authorization. This violation of taking down materials policy must be addressed.",12.1.6
I'm a student wishing to report my classmate removed room reservation signs without approval. I request disciplinary action for this unauthorized taking down of materials violating policy.,12.1.6
"As faculty, I'm grievant about a student taking down my syllabus and notes from the hallway board without permission. This unauthorized removal of materials violated rules.",12.1.6
I'm staff witness to a student removing lounge rules signs without authorization. This unauthorized taking down of materials disrupted operations.,12.1.6
"As an administrator, I'm filing an official complaint about a student repeatedly tearing down tutoring center flyers without approval. This violation of taking down materials policy must be addressed.",12.1.6
I'm a student wishing to file a grievance about my classmate ripping down lecture notes and syllabi without authorization. I believe disciplinary action should occur for this unauthorized removal of materials.,12.1.6
"As faculty, I'm reporting a student took down exam announcement posters without my permission. This unauthorized removal of materials violated campus policy.",12.1.6
I'm staff grievant about a student removing event flyers without authorization. This unauthorized taking down of materials disrupted operations and violated policy.,12.1.6
"As an administrator, I'm submitting an official complaint about a student tearing down departmental internship notices without approval. This violation of taking down materials policy must be disciplined.",12.1.6
I'm a student wishing to report my classmate taking down tutoring center flyers without permission. I request disciplinary action for this unauthorized removal of materials violating school rules.,12.1.6
"As faculty, I'm grievant about a student ripping down my syllabus and assignments from the bulletin board without approval. This unauthorized removal of materials violated policy.",12.1.6
I'm staff witness to a student removing lounge rules signs without authorization. This unauthorized taking down of materials disrupted operations.,12.1.6
"As an administrator, I'm filing an official complaint about a student repeatedly taking down departmental notices without permission. This violation of removal policy must be addressed.",12.1.6
I'm a student wishing to file a grievance about my classmate tearing down lecture notes and syllabi without approval. I believe disciplinary action should occur for this unauthorized removal of materials.,12.1.6
